(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 0, 100) 540.840027 -4.493891 -4.798112 -8.463691 -1.442118 -144.2118
(0, 0, 0, 100) 580.76001 -5.153181 -5.446817 -9.945205 -2.012901 -201.2901
(0, 0, 0, 100) 620.690002 -6.076205 -6.081969 -11.45033 -2.600384 -260.0384
(0, 0, 0, 100) 660.609985 -6.770444 -6.605384 -12.769392 -2.942508 -294.2508
(0, 0, 0, 100) 700.539978 -7.418428 -7.181102 -14.398972 -3.303624 -330.36240000000004
(0, 0, 0, 100) 730.47998 -7.850117 -7.554068 -15.497352 -3.669092 -366.9092
(0, 0, 0, 100) 750.440002 -7.964179 -7.706739 -16.047219 -3.839355 -383.9355
(0, 0, 0, 100) 770.400024 -8.34559 -7.782423 -16.740256 -3.958597 -395.85970000000003
(0, 0, 0, 100) 790.369995 -8.548049 -7.777604 -17.219956 -4.160093 -416.0093
(0, 0, 0, 100) 810.330017 -8.690267 -7.61351 -17.68988 -4.363065 -436.30649999999997
(0, 0, 0, 100) 830.289978 -8.827643 -7.427046 -18.168297 -4.575898 -457.58979999999997
(0, 0, 0, 100) 850.25 -8.92044 -7.349163 -18.462665 -4.699265 -469.9265
(0, 0, 0, 100) 870.210022 -9.335201 -7.518239 -19.216064 -5.011108 -501.11080000000004
(0, 0, 0, 100) 890.169983 -9.7416 -7.286324 -19.312454 -5.024339 -502.43390000000005
(0, 0, 0, 100) 910.140015 -9.805917 -7.283362 -19.802782 -5.426196 -542.6196
(0, 0, 0, 100) 930.099976 -10.359537 -7.35948 -21.028299 -5.713858 -571.3858
(0, 0, 0, 100) 950.059998 -10.70768 -7.411586 -21.621995 -5.99358 -599.358
(0, 0, 0, 100) 970.02002 -10.871665 -7.831378 -22.248371 -6.114661 -611.4661
(0, 0, 0, 100) 989.97998 -11.180048 -8.47782 -23.285199 -6.443953 -644.3952999999999
(0, 0, 0, 100) 1009.950012 -11.937386 -8.899744 -24.416791 -6.927038 -692.7038
(0, 0, 0, 100) 1029.910034 -12.236995 -9.394163 -25.2316 -7.211906 -721.1906
(0, 0, 0, 100) 1049.869995 -12.596027 -9.893889 -26.483681 -7.419411 -741.9411
(0, 0, 0, 100) 1069.829956 -13.110111 -10.45128 -27.664397 -7.747098 -774.7098
(0, 0, 0, 100) 1089.790039 -13.515401 -10.886553 -28.19207 -7.986058 -798.6058
(0, 0, 0, 100) 1109.76001 -13.743826 -11.382753 -28.948311 -8.33077 -833.0769999999999
(0, 0, 0, 100) 1129.719971 -14.154537 -11.617343 -29.699983 -8.5431 -854.3100000000001
(0, 0, 0, 100) 1149.680054 -14.665749 -12.066991 -30.950411 -8.857296 -885.7296
(0, 0, 0, 100) 1169.640015 -14.910587 -12.340047 -31.743888 -9.196383 -919.6383000000001
(0, 0, 0, 100) 1189.599976 -15.298585 -12.604107 -32.531656 -9.393335 -939.3335000000001
(0, 0, 0, 100) 1209.569946 -15.564434 -12.816033 -33.156665 -9.927868 -992.7868
(0, 0, 0, 100) 1229.530029 -15.847155 -13.079134 -34.643708 -10.212968 -1021.2968
(0, 0, 0, 100) 1249.48999 -16.217069 -13.535734 -35.03322 -10.383887 -1038.3887
(0, 0, 0, 100) 1269.449951 -16.675266 -13.832154 -35.945652 -10.997107 -1099.7107
(0, 0, 0, 100) 1289.410034 -16.800218 -14.119544 -36.705071 -11.107567 -1110.7567
(0, 0, 0, 100) 1309.380005 -17.130345 -14.41662 -37.403813 -11.353483 -1135.3483
(0, 0, 0, 100) 1329.339966 -16.989599 -14.497582 -37.8066 -11.733368 -1173.3368
(0, 0, 0, 100) 1349.300049 -17.465155 -14.901416 -38.847616 -12.238173 -1223.8173
(0, 0, 0, 100) 1369.26001 -17.453338 -15.404008 -39.694753 -12.533346 -1253.3346
(0, 0, 0, 100) 1389.219971 -18.304323 -15.392998 -40.422557 -13.001563 -1300.1563
(0, 0, 0, 100) 1409.189941 -17.903868 -15.512942 -41.040012 -13.281576 -1328.1576
(0, 0, 0, 100) 1429.150024 -18.005073 -15.767996 -41.923801 -13.660315 -1366.0315
(0, 0, 0, 100) 1449.109985 -18.024877 -16.298196 -42.407209 -13.697607 -1369.7607
(0, 0, 0, 100) 1469.069946 -17.529179 -15.957587 -42.941046 -13.85893 -1385.893
(0, 0, 0, 100) 1489.030029 -18.139301 -16.113082 -43.657051 -14.073842 -1407.3842000000002
(0, 0, 0, 100) 1508.98999 -18.097867 -16.330076 -43.805083 -14.375937 -1437.5937000000001
(0, 0, 0, 100) 1528.959961 -18.162542 -16.112775 -44.90417 -15.040767 -1504.0767
(0, 0, 0, 100) 1548.920044 -17.9475 -15.9968 -45.378786 -15.261193 -1526.1193
(0, 0, 0, 100) 1578.859985 -17.801984 -15.952393 -46.146158 -15.593403 -1559.3403
(0, 0, 0, 100) 1618.790039 -17.559385 -16.218627 -47.547345 -16.013746 -1601.3746
(0, 0, 0, 100) 1658.709961 -17.346692 -16.074278 -48.28576 -16.521303 -1652.1303
(0, 0, 0, 100) 1698.630005 -17.01764 -15.882808 -49.35494 -17.058757 -1705.8757
(0, 0, 0, 100) 1738.560059 -16.645032 -15.818737 -50.01352 -17.441579 -1744.1579000000002
(0, 0, 0, 100) 1778.47998 -16.564689 -15.76057 -51.163844 -17.896856 -1789.6856
(0, 0, 0, 100) 1818.400024 -16.210917 -15.586095 -52.139073 -18.435492 -1843.5492
(0, 0, 0, 100) 1858.329956 -16.351713 -15.564905 -53.099751 -19.165529 -1916.5529
(0, 0, 0, 100) 1898.25 -16.566568 -15.779508 -54.441761 -19.717665 -1971.7665
(0, 0, 0, 100) 1938.180054 -16.636576 -15.947053 -55.500901 -20.510862 -2051.0861999999997
(0, 0, 0, 100) 1978.099976 -16.864508 -16.285956 -57.112148 -21.390718 -2139.0718
(0, 0, 0, 100) 2018.02002 -17.191953 -16.719842 -59.041427 -22.002663 -2200.2663
(0, 0, 0, 100) 2057.949951 -17.709791 -17.319164 -61.142838 -22.645079 -2264.5079
(0, 0, 0, 100) 2097.870117 -18.234431 -18.007402 -62.942459 -23.319817 -2331.9817000000003
(0, 0, 0, 100) 2137.800049 -18.823663 -18.795476 -65.147178 -24.677848 -2467.7848
(0, 0, 0, 100) 2177.719971 -19.456814 -19.407491 -67.414514 -25.657669 -2565.7668999999996
(0, 0, 0, 100) 2217.639893 -20.294509 -20.19025 -69.985969 -26.859816 -2685.9816
(0, 0, 0, 100) 2257.570068 -20.84746 -20.906272 -72.66539 -27.479684 -2747.9683999999997
(0, 0, 0, 100) 2297.48999 -21.706305 -22.176852 -75.297133 -28.710375 -2871.0375
(0, 0, 0, 100) 2337.419922 -22.417325 -22.653518 -77.76339 -29.794874 -2979.4874
(0, 0, 0, 100) 2377.340088 -23.071398 -23.467812 -80.72993 -31.031553 -3103.1553
(0, 0, 0, 100) 2417.26001 -23.863078 -24.545043 -82.966045 -32.747166 -3274.7166
(0, 0, 0, 100) 2457.189941 -24.257137 -25.491892 -85.218903 -33.985082 -3398.5081999999998
(0, 0, 0, 100) 2497.110107 -24.407436 -26.072419 -87.635281 -35.053069 -3505.3069
(0, 0, 0, 100) 2537.030029 -24.976559 -26.709105 -90.248585 -37.017797 -3701.7797
(0, 0, 0, 100) 2576.959961 -24.912069 -27.073729 -92.804411 -38.363639 -3836.3639
(0, 0, 0, 100) 2616.879883 -25.402314 -27.466604 -95.434037 -39.826242 -3982.6242
(0, 0, 0, 100) 2656.810059 -25.602057 -28.392224 -97.459229 -41.435426 -4143.5426
(0, 0, 0, 100) 2696.72998 -26.247989 -28.589012 -100.829873 -43.373353 -4337.3353
(0, 0, 0, 100) 2736.649902 -26.363034 -28.998334 -105.808082 -45.47398 -4547.398
(0, 0, 0, 100) 2776.580078 -26.386646 -29.563154 -109.460115 -46.712302 -4671.2302
(0, 0, 0, 100) 2816.5 -26.202283 -29.146798 -109.255159 -47.308778 -4730.877799999999
(0, 0, 0, 100) 2856.429932 -27.631809 -30.17862 -115.616698 -51.499658 -5149.9658
(0, 0, 0, 100) 2896.350098 -26.985696 -28.976306 -118.055505 -53.223696 -5322.3696
(0, 0, 0, 100) 2936.27002 -27.341386 -28.85116 -119.011303 -53.143089 -5314.3089
(0, 0, 0, 100) 2976.199951 -28.969982 -30.112609 -128.157223 -58.834896 -5883.4896
(0, 0, 5, 95) 540.840027 -4.493891 -4.798112 -8.463691 -1.442118 -179.31966500000001
(0, 0, 5, 95) 580.76001 -5.153181 -5.446817 -9.945205 -2.012901 -240.95161999999996
(0, 0, 5, 95) 620.690002 -6.076205 -6.081969 -11.45033 -2.600384 -304.28813
(0, 0, 5, 95) 660.609985 -6.770444 -6.605384 -12.769392 -2.942508 -343.38522
(0, 0, 5, 95) 700.539978 -7.418428 -7.181102 -14.398972 -3.303624 -385.83914000000004
(0, 0, 5, 95) 730.47998 -7.850117 -7.554068 -15.497352 -3.669092 -426.0505
(0, 0, 5, 95) 750.440002 -7.964179 -7.706739 -16.047219 -3.839355 -444.97481999999997
(0, 0, 5, 95) 770.400024 -8.34559 -7.782423 -16.740256 -3.958597 -459.767995
(0, 0, 5, 95) 790.369995 -8.548049 -7.777604 -17.219956 -4.160093 -481.308615
(0, 0, 5, 95) 810.330017 -8.690267 -7.61351 -17.68988 -4.363065 -502.94057499999997
(0, 0, 5, 95) 830.289978 -8.827643 -7.427046 -18.168297 -4.575898 -525.551795
(0, 0, 5, 95) 850.25 -8.92044 -7.349163 -18.462665 -4.699265 -538.7434999999999
(0, 0, 5, 95) 870.210022 -9.335201 -7.518239 -19.216064 -5.011108 -572.13558
(0, 0, 5, 95) 890.169983 -9.7416 -7.286324 -19.312454 -5.024339 -573.874475
(0, 0, 5, 95) 910.140015 -9.805917 -7.283362 -19.802782 -5.426196 -614.50253
(0, 0, 5, 95) 930.099976 -10.359537 -7.35948 -21.028299 -5.713858 -647.958005
(0, 0, 5, 95) 950.059998 -10.70768 -7.411586 -21.621995 -5.99358 -677.5000749999999
(0, 0, 5, 95) 970.02002 -10.871665 -7.831378 -22.248371 -6.114661 -692.13465
